state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR,  Toluene, WD, WS, CO, Benzene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,04-Jul-2020 - 03:00,34.2,972.1,60.25,48.25,70.95,9.15,14.38,71.5,1.3,1.5,1.65,29.12,4.4,14.55,11.32,60.17,9.62
Delhi,Delhi,site_301,04-Jul-2020 - 04:00,33.67,971.95,74.25,56.75,76.03,9.28,8.88,69.75,1.18,1.48,2.15,29.98,4.4,13.4,10.72,49.83,9.85
Delhi,Delhi,site_301,04-Jul-2020 - 05:00,33.47,971.9,77.25,63.75,79.2,28.12,36.88,63.25,1.25,1.38,3.22,29.52,5.75,17.33,13.9,41.9,10.55
Delhi,Delhi,site_301,04-Jul-2020 - 06:00,33.55,971.9,75.75,68.5,79.08,232.7,29.52,69.25,1.15,1.6,2.3,29.43,9.25,22.72,19.62,31.42,12.22
Delhi,Delhi,site_301,04-Jul-2020 - 07:00,34.2,972.05,78.5,66.5,76.25,367.62,26.1,79.25,1.67,1.23,1.97,28.25,8.42,21.6,18.35,37.0,12.6
Delhi,Delhi,site_301,04-Jul-2020 - 08:00,35.1,971.9,80.25,65.25,72.17,409.85,47.9,75.0,2.0,0.9,2.97,28.4,7.95,18.05,16.1,47.22,12.02
Delhi,Delhi,site_301,04-Jul-2020 - 09:00,35.95,971.9,81.0,65.5,68.1,416.9,11.12,74.75,1.75,1.05,1.9,26.95,7.12,20.23,16.55,59.23,10.65
Delhi,Delhi,site_301,04-Jul-2020 - 10:00,37.08,971.9,86.0,66.0,63.58,425.02,7.47,85.5,2.05,1.12,1.73,26.82,6.97,23.07,17.98,72.15,10.55
Delhi,Delhi,site_301,04-Jul-2020 - 11:00,37.4,971.82,99.5,69.0,60.42,429.0,10.4,82.75,2.1,1.08,2.02,25.75,6.57,27.15,19.83,86.67,10.3
Delhi,Delhi,site_301,04-Jul-2020 - 12:00,38.25,971.9,94.25,56.5,55.3,437.65,14.45,80.5,2.17,0.93,1.58,25.73,6.22,29.27,20.65,94.75,11.62
Delhi,Delhi,site_301,04-Jul-2020 - 13:00,39.0,971.95,84.5,42.75,53.22,409.02,13.32,91.5,1.7,0.85,1.12,25.65,5.72,21.0,15.8,111.53,10.02
Delhi,Delhi,site_301,04-Jul-2020 - 14:00,39.45,971.82,61.75,33.0,51.15,388.65,20.0,83.0,1.45,0.82,1.85,24.85,5.27,22.05,16.05,112.5,8.93
Delhi,Delhi,site_301,04-Jul-2020 - 15:00,39.55,971.8,57.75,33.25,50.62,375.48,13.75,81.0,1.4,0.82,1.08,24.68,5.15,19.73,14.68,128.12,9.8
Delhi,Delhi,site_301,04-Jul-2020 - 16:00,39.03,971.8,47.75,31.0,51.12,357.62,9.45,86.75,1.6,0.78,0.82,24.02,5.55,23.08,16.8,130.12,10.88
Delhi,Delhi,site_301,04-Jul-2020 - 17:00,37.57,971.9,48.25,22.5,54.65,346.32,54.65,76.0,1.88,0.95,6.22,23.0,5.62,32.62,21.92,127.92,19.93
Delhi,Delhi,site_301,04-Jul-2020 - 18:00,36.73,972.03,51.5,23.25,56.22,232.55,121.4,75.5,1.6,1.1,11.57,22.9,5.38,26.12,18.25,123.43,14.83
Delhi,Delhi,site_301,04-Jul-2020 - 19:00,36.05,972.27,53.0,23.0,61.2,33.45,40.08,69.75,1.78,0.88,3.23,23.23,4.85,27.08,18.35,110.98,9.93
Delhi,Delhi,site_301,04-Jul-2020 - 20:00,35.58,972.3,63.5,34.0,67.1,9.2,19.07,75.5,1.5,0.93,1.55,24.65,5.08,24.48,17.17,93.45,9.65
Delhi,Delhi,site_301,04-Jul-2020 - 21:00,35.3,972.4,73.25,52.0,71.3,9.25,10.95,77.25,1.38,1.38,1.58,26.43,4.65,21.8,15.4,84.03,9.25
Delhi,Delhi,site_301,04-Jul-2020 - 22:00,35.03,972.52,87.75,62.75,73.35,9.3,14.93,78.75,1.7,1.38,1.93,27.05,4.1,17.35,12.6,74.3,9.93
Delhi,Delhi,site_301,05-Jul-2020 - 00:00,34.38,972.58,65.0,54.5,76.03,9.17,6.1,74.0,1.9,1.23,1.2,25.43,4.53,10.3,9.18,65.47,11.65
Delhi,Delhi,site_301,05-Jul-2020 - 01:00,34.3,972.6,62.5,53.0,76.25,9.2,4.4,76.0,1.77,0.98,1.27,26.27,4.2,10.38,8.92,53.4,12.2
Delhi,Delhi,site_301,05-Jul-2020 - 02:00,34.15,972.6,66.0,53.0,76.65,9.2,3.88,77.0,1.9,1.7,1.17,25.35,4.95,9.95,9.35,60.65,12.8
Delhi,Delhi,site_301,05-Jul-2020 - 03:00,31.55,973.4,95.75,46.75,81.38,9.1,4.38,228.0,1.8,1.65,1.2,22.52,4.55,6.88,7.38,92.45,11.68
Delhi,Delhi,site_301,05-Jul-2020 - 04:00,29.5,974.05,126.0,28.0,89.28,9.42,5.3,224.75,0.97,0.88,0.78,19.9,4.17,5.32,6.23,103.92,10.45
Delhi,Delhi,site_301,05-Jul-2020 - 05:00,28.95,973.9,2.75,None,87.53,10.78,3.62,119.5,0.72,0.88,0.43,19.25,3.9,9.82,8.4,101.77,10.4
Delhi,Delhi,site_301,05-Jul-2020 - 06:00,28.85,973.9,3.75,5.0,87.32,66.92,3.98,93.0,0.5,0.97,0.1,19.5,5.65,31.25,21.23,107.3,12.0
